id,y_true
60000,upmarket_card
60001,prepaid_card
60002,highstreet_card
60003,prepaid_card
60004,prepaid_card
60005,upmarket_card
60006,prepaid_card
60007,upmarket_card
60008,prepaid_card
60009,highstreet_card
60010,upmarket_card
60011,upmarket_card
60012,upmarket_card
60013,upmarket_card
60014,upmarket_card
60015,highstreet_card
60016,prepaid_card
60017,prepaid_card
60018,prepaid_card
60019,prepaid_card
60020,upmarket_card
60021,prepaid_card
60022,upmarket_card
60023,upmarket_card
60024,prepaid_card
60025,highstreet_card
60026,prepaid_card
60027,upmarket_card
60028,upmarket_card
60029,prepaid_card
60030,prepaid_card
60031,upmarket_card
60032,prepaid_card
60033,prepaid_card
60034,upmarket_card
60035,prepaid_card
60036,highstreet_card
60037,highstreet_card
60038,upmarket_card
60039,highstreet_card
60040,highstreet_card
60041,upmarket_card
60042,prepaid_card
60043,prepaid_card
60044,highstreet_card
60045,prepaid_card
60046,upmarket_card
60047,prepaid_card
60048,upmarket_card
60049,prepaid_card
60050,upmarket_card
60051,highstreet_card
60052,prepaid_card
60053,highstreet_card
60054,prepaid_card
60055,upmarket_card
60056,prepaid_card
60057,highstreet_card
60058,upmarket_card
60059,prepaid_card
60060,prepaid_card
60061,highstreet_card
60062,upmarket_card
60063,highstreet_card
60064,prepaid_card
60065,upmarket_card
60066,highstreet_card
60067,upmarket_card
60068,upmarket_card
60069,prepaid_card
60070,prepaid_card
60071,upmarket_card
60072,highstreet_card
60073,upmarket_card
60074,highstreet_card
60075,upmarket_card
60076,upmarket_card
60077,upmarket_card
60078,prepaid_card
60079,prepaid_card
60080,upmarket_card
60081,upmarket_card
60082,prepaid_card
60083,prepaid_card
60084,highstreet_card
60085,upmarket_card
60086,highstreet_card
60087,highstreet_card
60088,highstreet_card
60089,highstreet_card
60090,upmarket_card
60091,highstreet_card
60092,highstreet_card
60093,upmarket_card
60094,upmarket_card
60095,prepaid_card
60096,prepaid_card
60097,upmarket_card
60098,highstreet_card
60099,upmarket_card
60100,upmarket_card
60101,upmarket_card
60102,highstreet_card
60103,prepaid_card
60104,highstreet_card
60105,prepaid_card
60106,upmarket_card
60107,highstreet_card
60108,upmarket_card
60109,prepaid_card
60110,upmarket_card
60111,upmarket_card
60112,upmarket_card
60113,upmarket_card
60114,prepaid_card
60115,highstreet_card
60116,upmarket_card
60117,prepaid_card
60118,highstreet_card
60119,upmarket_card
60120,prepaid_card
60121,prepaid_card
60122,upmarket_card
60123,highstreet_card
60124,highstreet_card
60125,upmarket_card
60126,upmarket_card
60127,prepaid_card
60128,prepaid_card
60129,upmarket_card
60130,upmarket_card
60131,highstreet_card
60132,highstreet_card
60133,highstreet_card
60134,upmarket_card
60135,highstreet_card
60136,highstreet_card
60137,upmarket_card
60138,highstreet_card
60139,highstreet_card
60140,upmarket_card
60141,upmarket_card
60142,upmarket_card
60143,highstreet_card
60144,highstreet_card
60145,prepaid_card
60146,highstreet_card
60147,highstreet_card
60148,prepaid_card
60149,prepaid_card
60150,prepaid_card
60151,prepaid_card
60152,highstreet_card
60153,highstreet_card
60154,prepaid_card
60155,highstreet_card
60156,upmarket_card
60157,upmarket_card
60158,prepaid_card
60159,prepaid_card
60160,prepaid_card
60161,upmarket_card
60162,upmarket_card
60163,upmarket_card
60164,prepaid_card
60165,highstreet_card
60166,upmarket_card
60167,highstreet_card
60168,prepaid_card
60169,upmarket_card
60170,prepaid_card
60171,upmarket_card
60172,upmarket_card
60173,highstreet_card
60174,highstreet_card
60175,highstreet_card
60176,highstreet_card
60177,upmarket_card
60178,highstreet_card
60179,highstreet_card
60180,highstreet_card
60181,upmarket_card
60182,prepaid_card
60183,prepaid_card
60184,prepaid_card
60185,upmarket_card
60186,prepaid_card
60187,highstreet_card
60188,upmarket_card
60189,highstreet_card
60190,upmarket_card
60191,highstreet_card
60192,highstreet_card
60193,prepaid_card
60194,highstreet_card
60195,upmarket_card
60196,prepaid_card
60197,highstreet_card
60198,highstreet_card
60199,upmarket_card
60200,upmarket_card
60201,upmarket_card
60202,upmarket_card
60203,upmarket_card
60204,upmarket_card
60205,prepaid_card
60206,prepaid_card
60207,upmarket_card
60208,highstreet_card
60209,highstreet_card
60210,highstreet_card
60211,prepaid_card
60212,highstreet_card
60213,upmarket_card
60214,upmarket_card
60215,upmarket_card
60216,highstreet_card
60217,highstreet_card
60218,prepaid_card
60219,highstreet_card
60220,upmarket_card
60221,prepaid_card
60222,prepaid_card
60223,upmarket_card
60224,upmarket_card
60225,upmarket_card
60226,upmarket_card
60227,prepaid_card
60228,prepaid_card
60229,highstreet_card
60230,highstreet_card
60231,highstreet_card
60232,prepaid_card
60233,highstreet_card
60234,prepaid_card
60235,prepaid_card
60236,highstreet_card
60237,highstreet_card
60238,highstreet_card
60239,upmarket_card
60240,upmarket_card
60241,prepaid_card
60242,highstreet_card
60243,prepaid_card
60244,upmarket_card
60245,prepaid_card
60246,highstreet_card
60247,highstreet_card
60248,upmarket_card
60249,highstreet_card
60250,prepaid_card
60251,prepaid_card
